Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
SAI,55,Ferrari,1,MEDIUM,1,True,NaT,,1,False
SAI,55,Ferrari,2,MEDIUM,2,True,0 days 00:01:17.444000,77.444,1,True
SAI,55,Ferrari,3,MEDIUM,3,True,0 days 00:01:51.421000,111.421,1,False
SAI,55,Ferrari,4,MEDIUM,4,False,0 days 00:02:06.891000,126.891,2,False
SAI,55,Ferrari,5,MEDIUM,5,False,0 days 00:01:17.241000,77.241,2,True
SAI,55,Ferrari,6,MEDIUM,6,False,0 days 00:01:42.568000,102.568,2,False
SAI,55,Ferrari,7,SOFT,1,False,NaT,,3,False
SAI,55,Ferrari,8,SOFT,2,False,0 days 00:01:16.778000,76.778,3,True
SAI,55,Ferrari,9,SOFT,3,False,0 days 00:01:44.562000,104.562,3,False
SAI,55,Ferrari,10,SOFT,1,False,NaT,,4,False
SAI,55,Ferrari,11,SOFT,2,False,0 days 00:01:17.027000,77.027,4,True
SAI,55,Ferrari,12,SOFT,3,False,0 days 00:01:40.144000,100.144,4,False
SAI,55,Ferrari,13,SOFT,1,False,NaT,,5,False
SAI,55,Ferrari,14,SOFT,2,False,0 days 00:01:16.515000,76.515,5,True
SAI,55,Ferrari,15,SOFT,3,False,NaT,,5,False
SAI,55,Ferrari,16,SOFT,1,False,NaT,,6,False
SAI,55,Ferrari,17,SOFT,2,False,0 days 00:01:16.055000,76.055,6,True
SAI,55,Ferrari,18,SOFT,3,False,0 days 00:01:34.206000,94.206,6,False
SAI,55,Ferrari,19,SOFT,1,False,NaT,,7,False
SAI,55,Ferrari,20,SOFT,2,False,0 days 00:01:15.946000,75.946,7,True
SAI,55,Ferrari,21,SOFT,3,False,0 days 00:01:47.548000,107.548,7,False
VER,1,Red Bull Racing,1,SOFT,1,True,NaT,,1,False
VER,1,Red Bull Racing,2,SOFT,2,True,0 days 00:01:16.998000,76.998,1,True
VER,1,Red Bull Racing,3,SOFT,3,True,0 days 00:01:45.265000,105.265,1,False
VER,1,Red Bull Racing,4,SOFT,1,False,NaT,,2,False
VER,1,Red Bull Racing,5,SOFT,2,False,0 days 00:01:16.803000,76.803,2,True
VER,1,Red Bull Racing,6,SOFT,3,False,0 days 00:01:40.519000,100.519,2,False
VER,1,Red Bull Racing,7,SOFT,1,False,NaT,,3,False
VER,1,Red Bull Racing,8,SOFT,2,False,0 days 00:01:16.629000,76.629,3,True
VER,1,Red Bull Racing,9,SOFT,3,False,0 days 00:01:42.827000,102.827,3,False
VER,1,Red Bull Racing,10,SOFT,1,False,NaT,,4,False
VER,1,Red Bull Racing,11,SOFT,2,False,0 days 00:01:16.514000,76.514,4,True
VER,1,Red Bull Racing,12,SOFT,3,False,0 days 00:01:37.710000,97.71,4,False
VER,1,Red Bull Racing,13,SOFT,1,False,NaT,,5,False
VER,1,Red Bull Racing,14,SOFT,2,False,0 days 00:01:16.368000,76.368,5,True
VER,1,Red Bull Racing,15,SOFT,3,False,0 days 00:01:36.128000,96.128,5,False
VER,1,Red Bull Racing,16,SOFT,1,False,NaT,,6,False
VER,1,Red Bull Racing,17,SOFT,2,False,0 days 00:01:16.171000,76.171,6,True
VER,1,Red Bull Racing,18,SOFT,3,False,0 days 00:01:44.330000,104.33,6,False
NOR,4,McLaren,1,MEDIUM,1,True,NaT,,1,False
NOR,4,McLaren,2,MEDIUM,2,True,0 days 00:01:17.203000,77.203,1,True
NOR,4,McLaren,3,MEDIUM,3,True,0 days 00:01:48.041000,108.041,1,False
NOR,4,McLaren,4,SOFT,1,True,NaT,,2,False
NOR,4,McLaren,5,SOFT,2,True,0 days 00:01:16.505000,76.505,2,True
NOR,4,McLaren,6,SOFT,3,True,0 days 00:01:39.304000,99.304,2,False
NOR,4,McLaren,7,SOFT,1,False,NaT,,3,False
NOR,4,McLaren,8,SOFT,2,False,0 days 00:01:16.301000,76.301,3,True
NOR,4,McLaren,9,SOFT,3,False,0 days 00:01:36.388000,96.388,3,False
NOR,4,McLaren,10,SOFT,1,False,NaT,,4,False
NOR,4,McLaren,11,SOFT,2,False,0 days 00:01:16.937000,76.937,4,True
NOR,4,McLaren,12,SOFT,3,False,0 days 00:01:34.290000,94.29,4,False
NOR,4,McLaren,13,SOFT,1,False,NaT,,5,False
NOR,4,McLaren,14,SOFT,2,False,0 days 00:01:16.260000,76.26,5,True
NOR,4,McLaren,15,SOFT,3,False,0 days 00:01:41.095000,101.095,5,False
LEC,16,Ferrari,1,MEDIUM,1,True,NaT,,1,False
LEC,16,Ferrari,2,MEDIUM,2,True,0 days 00:01:17.887000,77.887,1,True
LEC,16,Ferrari,3,MEDIUM,3,True,0 days 00:01:48.948000,108.948,1,False
LEC,16,Ferrari,4,MEDIUM,4,False,0 days 00:02:10.252000,130.252,2,False
LEC,16,Ferrari,5,MEDIUM,5,False,0 days 00:01:17.688000,77.688,2,True
LEC,16,Ferrari,6,MEDIUM,6,False,0 days 00:01:33.632000,93.632,2,False
LEC,16,Ferrari,7,SOFT,1,False,NaT,,3,False
LEC,16,Ferrari,8,SOFT,2,False,0 days 00:01:16.972000,76.972,3,True
LEC,16,Ferrari,9,SOFT,3,False,0 days 00:01:50.652000,110.652,3,False
LEC,16,Ferrari,10,SOFT,1,False,NaT,,4,False
LEC,16,Ferrari,11,SOFT,2,False,0 days 00:01:17.631000,77.631,4,True
LEC,16,Ferrari,12,SOFT,3,False,0 days 00:01:30.552000,90.552,4,False
LEC,16,Ferrari,13,SOFT,1,False,NaT,,5,False
LEC,16,Ferrari,14,SOFT,2,False,0 days 00:01:16.641000,76.641,5,True
LEC,16,Ferrari,15,SOFT,3,False,0 days 00:01:36.940000,96.94,5,False
LEC,16,Ferrari,16,SOFT,1,False,NaT,,6,False
LEC,16,Ferrari,17,SOFT,2,False,0 days 00:01:16.415000,76.415,6,True
LEC,16,Ferrari,18,SOFT,3,False,0 days 00:01:33.780000,93.78,6,False
LEC,16,Ferrari,19,SOFT,1,False,NaT,,7,False
LEC,16,Ferrari,20,SOFT,2,False,0 days 00:01:16.265000,76.265,7,True
LEC,16,Ferrari,21,SOFT,3,False,NaT,,7,False
RUS,63,Mercedes,1,MEDIUM,2,False,NaT,,1,False
RUS,63,Mercedes,2,MEDIUM,3,False,0 days 00:01:17.900000,77.9,1,True
RUS,63,Mercedes,3,MEDIUM,4,False,0 days 00:01:35.942000,95.942,1,False
RUS,63,Mercedes,4,MEDIUM,1,True,NaT,,2,False
RUS,63,Mercedes,5,MEDIUM,2,True,0 days 00:01:17.194000,77.194,2,True
RUS,63,Mercedes,6,MEDIUM,3,True,0 days 00:01:50.526000,110.526,2,False
RUS,63,Mercedes,7,SOFT,1,False,NaT,,3,False
RUS,63,Mercedes,8,SOFT,2,False,0 days 00:01:37.356000,97.356,3,False
RUS,63,Mercedes,9,SOFT,1,False,NaT,,4,False
RUS,63,Mercedes,10,SOFT,2,False,0 days 00:01:16.937000,76.937,4,True
RUS,63,Mercedes,11,SOFT,3,False,0 days 00:01:44.036000,104.036,4,False
RUS,63,Mercedes,12,SOFT,1,False,NaT,,5,False
RUS,63,Mercedes,13,SOFT,2,False,NaT,,5,False
RUS,63,Mercedes,14,SOFT,1,False,NaT,,6,False
RUS,63,Mercedes,15,SOFT,2,False,0 days 00:01:16.509000,76.509,6,True
RUS,63,Mercedes,16,SOFT,3,False,0 days 00:01:38.985000,98.985,6,False
RUS,63,Mercedes,17,SOFT,1,False,NaT,,7,False
RUS,63,Mercedes,18,SOFT,2,False,0 days 00:01:16.356000,76.356,7,True
RUS,63,Mercedes,19,SOFT,3,False,NaT,,7,False
HAM,44,Mercedes,1,MEDIUM,1,True,NaT,,1,False
HAM,44,Mercedes,2,MEDIUM,2,True,0 days 00:01:17.848000,77.848,1,True
HAM,44,Mercedes,3,MEDIUM,3,True,0 days 00:01:42.114000,102.114,1,False
HAM,44,Mercedes,4,MEDIUM,5,False,NaT,,2,False
HAM,44,Mercedes,5,MEDIUM,6,False,0 days 00:01:17.306000,77.306,2,True
HAM,44,Mercedes,6,MEDIUM,7,False,0 days 00:01:40.459000,100.459,2,False
HAM,44,Mercedes,7,SOFT,1,False,NaT,,3,False
HAM,44,Mercedes,8,SOFT,2,False,0 days 00:01:35.227000,95.227,3,False
HAM,44,Mercedes,9,SOFT,1,False,NaT,,4,False
HAM,44,Mercedes,10,SOFT,2,False,0 days 00:01:16.973000,76.973,4,True
HAM,44,Mercedes,11,SOFT,3,False,0 days 00:01:42.731000,102.731,4,False
HAM,44,Mercedes,12,SOFT,1,False,NaT,,5,False
HAM,44,Mercedes,13,SOFT,2,False,NaT,,5,False
HAM,44,Mercedes,14,SOFT,1,False,NaT,,6,False
HAM,44,Mercedes,15,SOFT,2,False,0 days 00:01:16.651000,76.651,6,True
HAM,44,Mercedes,16,SOFT,3,False,0 days 00:01:39.967000,99.967,6,False
HAM,44,Mercedes,17,SOFT,1,False,NaT,,7,False
HAM,44,Mercedes,18,SOFT,2,False,0 days 00:01:16.712000,76.712,7,False
HAM,44,Mercedes,19,SOFT,3,False,NaT,,7,False
MAG,20,Haas F1 Team,1,SOFT,1,True,NaT,,1,False
MAG,20,Haas F1 Team,2,SOFT,2,True,0 days 00:01:17.693000,77.693,1,True
MAG,20,Haas F1 Team,3,SOFT,3,True,0 days 00:01:32.181000,92.181,1,False
MAG,20,Haas F1 Team,4,SOFT,1,False,NaT,,2,False
MAG,20,Haas F1 Team,5,SOFT,2,False,0 days 00:01:17.125000,77.125,2,True
MAG,20,Haas F1 Team,6,SOFT,3,False,0 days 00:01:49.868000,109.868,2,False
MAG,20,Haas F1 Team,7,SOFT,1,False,NaT,,3,False
MAG,20,Haas F1 Team,8,SOFT,2,False,0 days 00:01:17.181000,77.181,3,True
MAG,20,Haas F1 Team,9,SOFT,3,False,0 days 00:01:40.748000,100.748,3,False
MAG,20,Haas F1 Team,10,SOFT,1,False,NaT,,4,False
MAG,20,Haas F1 Team,11,SOFT,2,False,0 days 00:01:17.003000,77.003,4,True
MAG,20,Haas F1 Team,12,SOFT,3,False,NaT,,4,False
MAG,20,Haas F1 Team,13,SOFT,1,False,NaT,,5,False
MAG,20,Haas F1 Team,14,SOFT,2,False,0 days 00:01:18.104000,78.104,5,True
MAG,20,Haas F1 Team,15,SOFT,3,False,0 days 00:01:50.856000,110.856,5,False
MAG,20,Haas F1 Team,16,SOFT,1,False,NaT,,6,False
MAG,20,Haas F1 Team,17,SOFT,2,False,0 days 00:01:16.886000,76.886,6,True
MAG,20,Haas F1 Team,18,SOFT,3,False,NaT,,6,False
GAS,10,Alpine,1,SOFT,1,True,NaT,,1,False
GAS,10,Alpine,2,SOFT,2,True,0 days 00:01:18.515000,78.515,1,True
GAS,10,Alpine,3,SOFT,3,True,0 days 00:01:45.197000,105.197,1,False
GAS,10,Alpine,4,SOFT,1,True,NaT,,2,False
GAS,10,Alpine,5,SOFT,2,True,0 days 00:01:17.149000,77.149,2,True
GAS,10,Alpine,6,SOFT,3,True,0 days 00:01:46.108000,106.108,2,False
GAS,10,Alpine,7,SOFT,1,False,NaT,,3,False
GAS,10,Alpine,8,SOFT,1,False,NaT,,4,False
GAS,10,Alpine,9,SOFT,2,False,0 days 00:01:17.048000,77.048,4,True
GAS,10,Alpine,10,SOFT,3,False,0 days 00:01:41.329000,101.329,4,False
GAS,10,Alpine,11,SOFT,1,False,NaT,,5,False
GAS,10,Alpine,12,SOFT,2,False,NaT,,5,False
GAS,10,Alpine,13,SOFT,1,False,NaT,,6,False
GAS,10,Alpine,14,SOFT,2,False,0 days 00:01:17.269000,77.269,6,True
GAS,10,Alpine,15,SOFT,3,False,0 days 00:01:37.911000,97.911,6,False
GAS,10,Alpine,16,SOFT,1,False,NaT,,7,False
GAS,10,Alpine,17,SOFT,2,False,0 days 00:01:16.892000,76.892,7,True
GAS,10,Alpine,18,SOFT,3,False,NaT,,7,False
ALB,23,Williams,1,SOFT,1,True,NaT,,1,False
ALB,23,Williams,2,SOFT,2,True,0 days 00:01:17.563000,77.563,1,True
ALB,23,Williams,3,SOFT,3,True,0 days 00:01:36.210000,96.21,1,False
ALB,23,Williams,4,SOFT,1,False,NaT,,2,False
ALB,23,Williams,5,SOFT,2,False,0 days 00:01:17.189000,77.189,2,True
ALB,23,Williams,6,SOFT,3,False,0 days 00:01:44.496000,104.496,2,False
ALB,23,Williams,7,SOFT,1,False,NaT,,3,False
ALB,23,Williams,8,SOFT,2,False,0 days 00:01:17.090000,77.09,3,True
ALB,23,Williams,9,SOFT,3,False,0 days 00:01:32.707000,92.707,3,False
ALB,23,Williams,10,SOFT,1,False,NaT,,4,False
ALB,23,Williams,11,SOFT,2,False,0 days 00:01:16.988000,76.988,4,True
ALB,23,Williams,12,SOFT,3,False,0 days 00:01:36.094000,96.094,4,False
ALB,23,Williams,13,SOFT,1,False,NaT,,5,False
ALB,23,Williams,14,SOFT,2,False,0 days 00:01:17.338000,77.338,5,True
ALB,23,Williams,15,SOFT,3,False,0 days 00:01:32.121000,92.121,5,False
ALB,23,Williams,16,SOFT,1,False,NaT,,6,False
ALB,23,Williams,17,SOFT,2,False,0 days 00:01:17.065000,77.065,6,True
ALB,23,Williams,18,SOFT,3,False,NaT,,6,False
HUL,27,Haas F1 Team,1,SOFT,1,True,NaT,,1,False
HUL,27,Haas F1 Team,2,SOFT,2,True,0 days 00:01:17.186000,77.186,1,True
HUL,27,Haas F1 Team,3,SOFT,3,True,0 days 00:01:31.402000,91.402,1,False
HUL,27,Haas F1 Team,4,SOFT,1,False,NaT,,2,False
HUL,27,Haas F1 Team,5,SOFT,2,False,0 days 00:01:18.589000,78.589,2,False
HUL,27,Haas F1 Team,6,SOFT,3,False,0 days 00:01:41.891000,101.891,2,False
HUL,27,Haas F1 Team,7,SOFT,1,False,NaT,,3,False
HUL,27,Haas F1 Team,8,SOFT,2,False,0 days 00:01:17.485000,77.485,3,True
HUL,27,Haas F1 Team,9,SOFT,3,False,0 days 00:01:38.929000,98.929,3,False
HUL,27,Haas F1 Team,10,SOFT,1,False,NaT,,4,False
HUL,27,Haas F1 Team,11,SOFT,2,False,0 days 00:01:16.995000,76.995,4,True
HUL,27,Haas F1 Team,12,SOFT,3,False,NaT,,4,False
HUL,27,Haas F1 Team,13,SOFT,1,False,NaT,,5,False
HUL,27,Haas F1 Team,14,SOFT,2,False,0 days 00:01:17.581000,77.581,5,True
HUL,27,Haas F1 Team,15,SOFT,3,False,0 days 00:01:42.282000,102.282,5,False
HUL,27,Haas F1 Team,16,SOFT,1,False,NaT,,6,False
HUL,27,Haas F1 Team,17,SOFT,2,False,0 days 00:01:17.365000,77.365,6,True
HUL,27,Haas F1 Team,18,SOFT,3,False,NaT,,6,False
TSU,22,RB,1,SOFT,1,True,NaT,,1,False
TSU,22,RB,2,SOFT,2,True,0 days 00:01:17.239000,77.239,1,True
TSU,22,RB,3,SOFT,3,True,0 days 00:01:41.210000,101.21,1,False
TSU,22,RB,4,SOFT,1,False,NaT,,2,False
TSU,22,RB,5,SOFT,2,False,0 days 00:01:17.182000,77.182,2,True
TSU,22,RB,6,SOFT,3,False,0 days 00:01:51.644000,111.644,2,False
TSU,22,RB,7,SOFT,1,False,NaT,,3,False
TSU,22,RB,8,SOFT,2,False,0 days 00:01:17.129000,77.129,3,True
TSU,22,RB,9,SOFT,3,False,0 days 00:01:42.881000,102.881,3,False
TSU,22,RB,10,SOFT,1,False,NaT,,4,False
TSU,22,RB,11,SOFT,2,False,NaT,,4,False
LAW,30,RB,1,SOFT,1,True,NaT,,1,False
LAW,30,RB,2,SOFT,2,True,0 days 00:01:17.512000,77.512,1,True
LAW,30,RB,3,SOFT,3,True,0 days 00:01:31.762000,91.762,1,False
LAW,30,RB,4,SOFT,1,False,NaT,,2,False
LAW,30,RB,5,SOFT,2,False,0 days 00:01:17.380000,77.38,2,True
LAW,30,RB,6,SOFT,3,False,0 days 00:01:50.142000,110.142,2,False
LAW,30,RB,7,SOFT,1,False,NaT,,3,False
LAW,30,RB,8,SOFT,2,False,0 days 00:01:17.162000,77.162,3,True
LAW,30,RB,9,SOFT,3,False,0 days 00:01:34.342000,94.342,3,False
LAW,30,RB,10,SOFT,1,False,NaT,,4,False
LAW,30,RB,11,SOFT,2,False,NaT,,4,False
ALO,14,Aston Martin,1,SOFT,1,True,NaT,,1,False
ALO,14,Aston Martin,2,SOFT,2,True,0 days 00:01:18.129000,78.129,1,True
ALO,14,Aston Martin,3,SOFT,3,True,0 days 00:01:40.641000,100.641,1,False
ALO,14,Aston Martin,4,SOFT,1,True,0 days 00:02:06.069000,126.069,2,False
ALO,14,Aston Martin,5,SOFT,2,True,0 days 00:01:17.307000,77.307,2,True
ALO,14,Aston Martin,6,SOFT,3,True,0 days 00:01:42.696000,102.696,2,False
ALO,14,Aston Martin,7,SOFT,1,False,NaT,,3,False
ALO,14,Aston Martin,8,SOFT,2,False,0 days 00:01:40.107000,100.107,3,False
ALO,14,Aston Martin,9,SOFT,1,False,NaT,,4,False
