Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
SAI,55,Ferrari,1,MEDIUM,1,True,0 days 00:01:47.224000,107.224,1,False
SAI,55,Ferrari,2,MEDIUM,2,True,0 days 00:02:17.937000,137.937,1,True
SAI,55,Ferrari,3,MEDIUM,3,True,0 days 00:02:13.771000,133.771,1,True
SAI,55,Ferrari,4,MEDIUM,4,True,0 days 00:02:10.043000,130.043,1,True
SAI,55,Ferrari,5,MEDIUM,5,True,0 days 00:02:09.925000,129.925,1,True
SAI,55,Ferrari,6,MEDIUM,6,True,0 days 00:02:03.834000,123.834,1,True
SAI,55,Ferrari,7,MEDIUM,7,True,0 days 00:01:21.830000,81.83,1,True
SAI,55,Ferrari,8,MEDIUM,8,True,0 days 00:01:21.284000,81.284,1,True
SAI,55,Ferrari,9,MEDIUM,9,True,0 days 00:01:22.493000,82.493,1,False
SAI,55,Ferrari,10,MEDIUM,10,True,0 days 00:01:22.438000,82.438,1,False
SAI,55,Ferrari,11,MEDIUM,11,True,0 days 00:01:21.847000,81.847,1,False
SAI,55,Ferrari,12,MEDIUM,12,True,0 days 00:01:21.515000,81.515,1,False
SAI,55,Ferrari,13,MEDIUM,13,True,0 days 00:01:21.715000,81.715,1,False
SAI,55,Ferrari,14,MEDIUM,14,True,0 days 00:01:21.475000,81.475,1,False
SAI,55,Ferrari,15,MEDIUM,15,True,0 days 00:01:21.516000,81.516,1,False
SAI,55,Ferrari,16,MEDIUM,16,True,0 days 00:01:21.590000,81.59,1,False
SAI,55,Ferrari,17,MEDIUM,17,True,0 days 00:01:22.012000,82.012,1,False
SAI,55,Ferrari,18,MEDIUM,18,True,0 days 00:01:21.765000,81.765,1,False
SAI,55,Ferrari,19,MEDIUM,19,True,0 days 00:01:21.715000,81.715,1,False
SAI,55,Ferrari,20,MEDIUM,20,True,0 days 00:01:21.789000,81.789,1,False
SAI,55,Ferrari,21,MEDIUM,21,True,0 days 00:01:21.413000,81.413,1,False
SAI,55,Ferrari,22,MEDIUM,22,True,0 days 00:01:21.682000,81.682,1,False
