Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
VER,1,Red Bull Racing,1,MEDIUM,1,True,NaT,,1,False
VER,1,Red Bull Racing,2,MEDIUM,2,True,0 days 00:01:13.815000,73.815,1,True
VER,1,Red Bull Racing,3,MEDIUM,3,True,0 days 00:02:00.240000,120.24,1,False
VER,1,Red Bull Racing,4,MEDIUM,4,True,0 days 00:01:12.749000,72.749,1,True
VER,1,Red Bull Racing,5,MEDIUM,5,True,0 days 00:02:01.505000,121.505,1,False
VER,1,Red Bull Racing,6,MEDIUM,6,False,0 days 00:02:10.049000,130.049,2,False
VER,1,Red Bull Racing,7,MEDIUM,7,False,0 days 00:01:30.512000,90.512,2,False
VER,1,Red Bull Racing,8,MEDIUM,8,False,0 days 00:01:11.712000,71.712,2,True
VER,1,Red Bull Racing,9,MEDIUM,9,False,0 days 00:01:35.885000,95.885,2,False
VER,1,Red Bull Racing,10,MEDIUM,10,False,NaT,,3,False
VER,1,Red Bull Racing,11,MEDIUM,11,False,0 days 00:01:15.806000,75.806,3,False
VER,1,Red Bull Racing,12,MEDIUM,12,False,0 days 00:01:15.774000,75.774,3,False
VER,1,Red Bull Racing,13,MEDIUM,13,False,0 days 00:01:15.825000,75.825,3,False
VER,1,Red Bull Racing,14,MEDIUM,14,False,0 days 00:01:15.803000,75.803,3,False
VER,1,Red Bull Racing,15,MEDIUM,15,False,0 days 00:01:15.924000,75.924,3,False
VER,1,Red Bull Racing,16,MEDIUM,16,False,0 days 00:01:15.965000,75.965,3,False
VER,1,Red Bull Racing,17,MEDIUM,17,False,0 days 00:01:16.072000,76.072,3,False
VER,1,Red Bull Racing,18,MEDIUM,18,False,0 days 00:01:15.509000,75.509,3,False
VER,1,Red Bull Racing,19,MEDIUM,19,False,0 days 00:01:15.158000,75.158,3,False
VER,1,Red Bull Racing,20,MEDIUM,20,False,0 days 00:01:15.749000,75.749,3,False
VER,1,Red Bull Racing,21,MEDIUM,21,False,0 days 00:01:14.877000,74.877,3,False
VER,1,Red Bull Racing,22,MEDIUM,22,False,0 days 00:01:14.533000,74.533,3,False
VER,1,Red Bull Racing,23,MEDIUM,23,False,0 days 00:01:14.430000,74.43,3,False
VER,1,Red Bull Racing,24,MEDIUM,24,False,0 days 00:01:14.635000,74.635,3,False
VER,1,Red Bull Racing,25,MEDIUM,25,False,0 days 00:01:19.438000,79.438,3,False
VER,1,Red Bull Racing,26,SOFT,1,True,NaT,,4,False
VER,1,Red Bull Racing,27,SOFT,2,True,0 days 00:01:18.221000,78.221,4,False
VER,1,Red Bull Racing,28,MEDIUM,26,False,0 days 00:02:15.277000,135.277,5,False
VER,1,Red Bull Racing,29,MEDIUM,27,False,0 days 00:01:42.482000,102.482,5,False
VER,1,Red Bull Racing,30,MEDIUM,28,False,0 days 00:01:52.083000,112.083,5,False
NOR,4,McLaren,1,MEDIUM,1,True,NaT,,1,False
NOR,4,McLaren,2,MEDIUM,2,True,0 days 00:01:14.537000,74.537,1,True
NOR,4,McLaren,3,MEDIUM,3,True,0 days 00:01:50.875000,110.875,1,False
NOR,4,McLaren,4,MEDIUM,4,True,0 days 00:01:12.641000,72.641,1,True
NOR,4,McLaren,5,MEDIUM,5,True,0 days 00:01:45.959000,105.959,1,False
NOR,4,McLaren,6,MEDIUM,6,True,0 days 00:01:12.752000,72.752,1,False
NOR,4,McLaren,7,MEDIUM,7,True,0 days 00:01:53.495000,113.495,1,False
NOR,4,McLaren,8,MEDIUM,8,True,0 days 00:01:22.524000,82.524,1,False
NOR,4,McLaren,9,MEDIUM,9,False,NaT,,2,False
NOR,4,McLaren,10,MEDIUM,10,False,0 days 00:01:28.580000,88.58,2,False
NOR,4,McLaren,11,MEDIUM,11,False,0 days 00:01:21.920000,81.92,2,False
NOR,4,McLaren,12,MEDIUM,12,False,0 days 00:01:56.571000,116.571,2,False
NOR,4,McLaren,13,MEDIUM,13,False,0 days 00:01:55.589000,115.589,2,False
NOR,4,McLaren,14,MEDIUM,14,False,0 days 00:01:20.064000,80.064,2,False
NOR,4,McLaren,15,MEDIUM,15,False,0 days 00:01:13.995000,73.995,2,False
NOR,4,McLaren,16,MEDIUM,16,False,0 days 00:01:13.997000,73.997,2,False
NOR,4,McLaren,17,MEDIUM,17,False,0 days 00:01:14.456000,74.456,2,False
NOR,4,McLaren,18,MEDIUM,18,False,0 days 00:01:22.628000,82.628,2,False
NOR,4,McLaren,19,MEDIUM,19,False,0 days 00:01:40.179000,100.179,3,False
NOR,4,McLaren,20,MEDIUM,20,False,0 days 00:01:14.749000,74.749,3,False
NOR,4,McLaren,21,MEDIUM,21,False,0 days 00:01:18.161000,78.161,3,False
NOR,4,McLaren,22,MEDIUM,22,False,0 days 00:01:21.515000,81.515,3,False
NOR,4,McLaren,23,SOFT,1,True,NaT,,4,False
NOR,4,McLaren,24,SOFT,2,True,0 days 00:01:10.831000,70.831,4,True
NOR,4,McLaren,25,SOFT,3,True,0 days 00:02:00.540000,120.54,4,False
NOR,4,McLaren,26,SOFT,4,False,0 days 00:02:21.830000,141.83,5,False
NOR,4,McLaren,27,SOFT,5,False,0 days 00:01:10.610000,70.61,5,True
NOR,4,McLaren,28,SOFT,6,False,0 days 00:01:50.012000,110.012,5,False
NOR,4,McLaren,29,SOFT,7,False,0 days 00:01:56.333000,116.333,5,False
GAS,10,Alpine,1,MEDIUM,1,True,NaT,,1,False
GAS,10,Alpine,2,MEDIUM,2,True,0 days 00:01:38.706000,98.706,1,True
GAS,10,Alpine,3,MEDIUM,3,True,0 days 00:01:13.496000,73.496,1,True
GAS,10,Alpine,4,MEDIUM,4,True,0 days 00:02:13.051000,133.051,1,False
GAS,10,Alpine,5,MEDIUM,5,True,0 days 00:01:57.582000,117.582,1,False
GAS,10,Alpine,6,MEDIUM,6,True,0 days 00:01:41.788000,101.788,1,False
GAS,10,Alpine,7,MEDIUM,7,True,0 days 00:01:23.621000,83.621,1,False
GAS,10,Alpine,8,MEDIUM,8,False,NaT,,2,False
GAS,10,Alpine,9,MEDIUM,9,False,0 days 00:01:43.095000,103.095,2,False
GAS,10,Alpine,10,MEDIUM,10,False,0 days 00:01:12.487000,72.487,2,True
GAS,10,Alpine,11,MEDIUM,11,False,0 days 00:01:54.505000,114.505,2,False
GAS,10,Alpine,12,MEDIUM,12,False,0 days 00:01:40.504000,100.504,2,False
GAS,10,Alpine,13,MEDIUM,13,False,0 days 00:01:12.050000,72.05,2,True
GAS,10,Alpine,14,MEDIUM,14,False,0 days 00:01:17.630000,77.63,2,False
GAS,10,Alpine,15,MEDIUM,15,False,0 days 00:01:13.886000,73.886,2,False
GAS,10,Alpine,16,MEDIUM,16,False,0 days 00:01:14.174000,74.174,2,False
GAS,10,Alpine,17,MEDIUM,17,False,0 days 00:01:13.853000,73.853,2,False
GAS,10,Alpine,18,MEDIUM,18,False,0 days 00:01:13.476000,73.476,2,False
GAS,10,Alpine,19,MEDIUM,19,False,0 days 00:01:13.565000,73.565,2,False
GAS,10,Alpine,20,MEDIUM,20,False,0 days 00:01:26.391000,86.391,2,False
GAS,10,Alpine,21,SOFT,1,True,NaT,,3,False
GAS,10,Alpine,22,SOFT,2,True,0 days 00:01:11.367000,71.367,3,True
GAS,10,Alpine,23,SOFT,3,True,0 days 00:02:08.742000,128.742,3,False
GAS,10,Alpine,24,SOFT,4,False,0 days 00:02:19.721000,139.721,4,False
GAS,10,Alpine,25,SOFT,5,False,0 days 00:01:11.216000,71.216,4,True
GAS,10,Alpine,26,SOFT,6,False,0 days 00:01:55.494000,115.494,4,False
GAS,10,Alpine,27,SOFT,7,False,0 days 00:01:53.891000,113.891,4,False
PER,11,Red Bull Racing,1,MEDIUM,1,True,NaT,,1,False
PER,11,Red Bull Racing,2,MEDIUM,2,True,0 days 00:01:13.545000,73.545,1,True
PER,11,Red Bull Racing,3,MEDIUM,3,True,0 days 00:01:47.104000,107.104,1,False
PER,11,Red Bull Racing,4,MEDIUM,4,False,0 days 00:02:02.710000,122.71,2,False
PER,11,Red Bull Racing,5,MEDIUM,5,False,0 days 00:01:12.099000,72.099,2,True
PER,11,Red Bull Racing,6,MEDIUM,6,False,0 days 00:01:52.523000,112.523,2,False
PER,11,Red Bull Racing,7,MEDIUM,7,False,0 days 00:02:20.629000,140.629,3,False
PER,11,Red Bull Racing,8,MEDIUM,8,False,0 days 00:01:17.413000,77.413,3,False
PER,11,Red Bull Racing,9,MEDIUM,9,False,0 days 00:01:55.147000,115.147,3,False
PER,11,Red Bull Racing,10,MEDIUM,10,False,0 days 00:01:59.523000,119.523,3,False
PER,11,Red Bull Racing,11,MEDIUM,11,False,0 days 00:01:19.223000,79.223,3,False
PER,11,Red Bull Racing,12,MEDIUM,12,False,NaT,,4,False
PER,11,Red Bull Racing,13,MEDIUM,13,False,0 days 00:01:15.110000,75.11,4,False
PER,11,Red Bull Racing,14,MEDIUM,14,False,0 days 00:01:15.300000,75.3,4,False
PER,11,Red Bull Racing,15,MEDIUM,15,False,0 days 00:01:15.646000,75.646,4,False
PER,11,Red Bull Racing,16,MEDIUM,16,False,0 days 00:01:15.789000,75.789,4,False
PER,11,Red Bull Racing,17,MEDIUM,17,False,0 days 00:01:15.198000,75.198,4,False
PER,11,Red Bull Racing,18,MEDIUM,18,False,0 days 00:01:15.568000,75.568,4,False
PER,11,Red Bull Racing,19,MEDIUM,19,False,0 days 00:01:18.669000,78.669,4,False
PER,11,Red Bull Racing,20,MEDIUM,20,False,0 days 00:01:15.016000,75.016,4,False
PER,11,Red Bull Racing,21,MEDIUM,21,False,0 days 00:01:14.994000,74.994,4,False
PER,11,Red Bull Racing,22,MEDIUM,22,False,0 days 00:01:24.478000,84.478,4,False
PER,11,Red Bull Racing,23,SOFT,1,True,NaT,,5,False
PER,11,Red Bull Racing,24,SOFT,2,True,0 days 00:01:11.845000,71.845,5,True
PER,11,Red Bull Racing,25,SOFT,3,True,0 days 00:01:57.629000,117.629,5,False
PER,11,Red Bull Racing,26,MEDIUM,23,False,0 days 00:02:13.873000,133.873,6,False
PER,11,Red Bull Racing,27,MEDIUM,24,False,0 days 00:02:13.945000,133.945,6,False
