Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
NOR,4,McLaren,1,WET,1,True,NaT,,1,False
NOR,4,McLaren,2,WET,2,True,0 days 00:01:31.608000,91.608,1,True
NOR,4,McLaren,3,WET,3,True,0 days 00:01:37.946000,97.946,1,False
NOR,4,McLaren,4,WET,4,True,0 days 00:01:46.347000,106.347,1,False
NOR,4,McLaren,5,WET,5,True,0 days 00:01:31.632000,91.632,1,False
NOR,4,McLaren,6,WET,6,True,NaT,,1,False
NOR,4,McLaren,7,WET,1,True,NaT,,2,False
NOR,4,McLaren,8,WET,2,True,0 days 00:01:31.282000,91.282,2,True
NOR,4,McLaren,9,WET,3,True,0 days 00:01:39.833000,99.833,2,False
NOR,4,McLaren,10,WET,4,True,0 days 00:01:47.298000,107.298,2,False
NOR,4,McLaren,11,WET,5,True,0 days 00:01:31.333000,91.333,2,False
NOR,4,McLaren,12,WET,6,True,0 days 00:01:30.944000,90.944,2,True
NOR,4,McLaren,13,WET,7,True,0 days 00:01:55.700000,115.7,2,False
NOR,4,McLaren,14,WET,7,False,NaT,,3,False
NOR,4,McLaren,15,WET,8,False,0 days 00:01:29.583000,89.583,3,True
NOR,4,McLaren,16,WET,9,False,0 days 00:01:36.120000,96.12,3,False
NOR,4,McLaren,17,INTERMEDIATE,1,True,0 days 00:02:12.491000,132.491,4,False
NOR,4,McLaren,18,INTERMEDIATE,2,True,NaT,,4,False
NOR,4,McLaren,19,INTERMEDIATE,1,True,NaT,,5,False
NOR,4,McLaren,20,INTERMEDIATE,2,True,0 days 00:01:26.406000,86.406,5,True
NOR,4,McLaren,21,INTERMEDIATE,3,True,0 days 00:01:24.844000,84.844,5,True
NOR,4,McLaren,22,INTERMEDIATE,4,True,NaT,,5,False
NOR,4,McLaren,23,INTERMEDIATE,1,True,NaT,,6,False
NOR,4,McLaren,24,INTERMEDIATE,2,True,0 days 00:01:25.631000,85.631,6,True
NOR,4,McLaren,25,INTERMEDIATE,3,True,0 days 00:01:24.158000,84.158,6,True
NOR,4,McLaren,26,INTERMEDIATE,4,True,NaT,,6,False
NOR,4,McLaren,27,INTERMEDIATE,1,True,NaT,,7,False
NOR,4,McLaren,28,INTERMEDIATE,2,True,0 days 00:01:25.104000,85.104,7,False
NOR,4,McLaren,29,INTERMEDIATE,3,True,NaT,,7,False
NOR,4,McLaren,30,INTERMEDIATE,1,True,NaT,,8,False
NOR,4,McLaren,31,INTERMEDIATE,2,True,0 days 00:01:24.092000,84.092,8,True
NOR,4,McLaren,32,INTERMEDIATE,3,True,0 days 00:01:23.405000,83.405,8,True
NOR,4,McLaren,33,INTERMEDIATE,4,True,0 days 00:01:52.723000,112.723,8,False
RUS,63,Mercedes,1,WET,1,True,NaT,,1,False
RUS,63,Mercedes,2,WET,2,True,0 days 00:01:32.632000,92.632,1,True
RUS,63,Mercedes,3,WET,3,True,0 days 00:01:38.008000,98.008,1,False
RUS,63,Mercedes,4,WET,4,True,0 days 00:01:38.900000,98.9,1,False
RUS,63,Mercedes,5,WET,5,True,NaT,,1,False
RUS,63,Mercedes,6,WET,6,False,NaT,,2,False
RUS,63,Mercedes,7,WET,7,False,0 days 00:01:39.353000,99.353,2,False
RUS,63,Mercedes,8,WET,8,False,0 days 00:01:29.745000,89.745,2,True
RUS,63,Mercedes,9,WET,9,False,0 days 00:01:54.565000,114.565,2,False
RUS,63,Mercedes,10,WET,10,False,0 days 00:01:29.121000,89.121,2,True
RUS,63,Mercedes,11,WET,11,False,0 days 00:01:51.059000,111.059,2,False
RUS,63,Mercedes,12,WET,12,False,NaT,,3,False
RUS,63,Mercedes,13,WET,13,False,0 days 00:01:29.372000,89.372,3,True
RUS,63,Mercedes,14,WET,14,False,0 days 00:01:37.858000,97.858,3,False
RUS,63,Mercedes,15,INTERMEDIATE,1,True,0 days 00:02:11.718000,131.718,4,False
RUS,63,Mercedes,16,INTERMEDIATE,2,True,0 days 00:01:26.307000,86.307,4,True
RUS,63,Mercedes,17,INTERMEDIATE,3,True,NaT,,4,False
RUS,63,Mercedes,18,INTERMEDIATE,1,True,NaT,,5,False
RUS,63,Mercedes,19,INTERMEDIATE,2,True,0 days 00:01:30.062000,90.062,5,False
RUS,63,Mercedes,20,INTERMEDIATE,3,True,NaT,,5,False
RUS,63,Mercedes,21,INTERMEDIATE,1,True,NaT,,6,False
RUS,63,Mercedes,22,INTERMEDIATE,2,True,0 days 00:01:25.685000,85.685,6,True
RUS,63,Mercedes,23,INTERMEDIATE,3,True,NaT,,6,False
RUS,63,Mercedes,24,INTERMEDIATE,1,True,NaT,,7,False
RUS,63,Mercedes,25,INTERMEDIATE,2,True,0 days 00:01:28.891000,88.891,7,False
RUS,63,Mercedes,26,INTERMEDIATE,3,True,NaT,,7,False
RUS,63,Mercedes,27,INTERMEDIATE,1,True,NaT,,8,False
RUS,63,Mercedes,28,INTERMEDIATE,2,True,0 days 00:01:23.578000,83.578,8,True
RUS,63,Mercedes,29,INTERMEDIATE,3,True,0 days 00:01:49.716000,109.716,8,False
TSU,22,RB,1,WET,1,True,NaT,,1,False
TSU,22,RB,2,WET,2,True,0 days 00:01:35.403000,95.403,1,True
TSU,22,RB,3,WET,3,True,0 days 00:01:30.288000,90.288,1,True
TSU,22,RB,4,WET,4,True,0 days 00:01:42.487000,102.487,1,False
TSU,22,RB,5,WET,5,True,0 days 00:01:29.172000,89.172,1,True
TSU,22,RB,6,WET,6,True,NaT,,1,False
TSU,22,RB,7,WET,7,False,NaT,,2,False
TSU,22,RB,8,WET,8,False,0 days 00:01:36.418000,96.418,2,False
TSU,22,RB,9,WET,9,False,0 days 00:01:37.579000,97.579,2,False
TSU,22,RB,10,WET,10,False,0 days 00:01:44.054000,104.054,2,False
TSU,22,RB,11,WET,11,False,0 days 00:01:29.689000,89.689,2,False
TSU,22,RB,12,WET,12,False,0 days 00:01:49.362000,109.362,2,False
TSU,22,RB,13,WET,13,False,NaT,,3,False
TSU,22,RB,14,WET,14,False,0 days 00:01:36.693000,96.693,3,True
