Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
VER,1,Red Bull Racing,1,INTERMEDIATE,1,True,0 days 00:01:39.161000,99.161,1,False
VER,1,Red Bull Racing,2,INTERMEDIATE,2,True,0 days 00:01:27.134000,87.134,1,True
VER,1,Red Bull Racing,3,INTERMEDIATE,3,True,0 days 00:01:26.240000,86.24,1,True
VER,1,Red Bull Racing,4,INTERMEDIATE,4,True,0 days 00:01:26.702000,86.702,1,False
VER,1,Red Bull Racing,5,INTERMEDIATE,5,True,0 days 00:01:25.394000,85.394,1,True
VER,1,Red Bull Racing,6,INTERMEDIATE,6,True,0 days 00:01:24.311000,84.311,1,True
VER,1,Red Bull Racing,7,INTERMEDIATE,7,True,0 days 00:01:24.342000,84.342,1,False
VER,1,Red Bull Racing,8,INTERMEDIATE,8,True,0 days 00:01:24.657000,84.657,1,False
VER,1,Red Bull Racing,9,INTERMEDIATE,9,True,0 days 00:01:24.778000,84.778,1,False
VER,1,Red Bull Racing,10,INTERMEDIATE,10,True,0 days 00:01:24.015000,84.015,1,True
VER,1,Red Bull Racing,11,INTERMEDIATE,11,True,0 days 00:01:24.156000,84.156,1,False
VER,1,Red Bull Racing,12,INTERMEDIATE,12,True,0 days 00:01:23.430000,83.43,1,True
VER,1,Red Bull Racing,13,INTERMEDIATE,13,True,0 days 00:01:24.512000,84.512,1,False
VER,1,Red Bull Racing,14,INTERMEDIATE,14,True,0 days 00:01:24.791000,84.791,1,False
VER,1,Red Bull Racing,15,INTERMEDIATE,15,True,0 days 00:01:24.669000,84.669,1,False
VER,1,Red Bull Racing,16,INTERMEDIATE,16,True,0 days 00:01:25.131000,85.131,1,False
VER,1,Red Bull Racing,17,INTERMEDIATE,17,True,0 days 00:01:24.328000,84.328,1,False
VER,1,Red Bull Racing,18,INTERMEDIATE,18,True,0 days 00:01:24.248000,84.248,1,False
VER,1,Red Bull Racing,19,INTERMEDIATE,19,True,0 days 00:01:24.493000,84.493,1,False
VER,1,Red Bull Racing,20,INTERMEDIATE,20,True,0 days 00:01:23.915000,83.915,1,False
VER,1,Red Bull Racing,21,INTERMEDIATE,21,True,0 days 00:01:24.269000,84.269,1,False
VER,1,Red Bull Racing,22,INTERMEDIATE,22,True,0 days 00:01:25.055000,85.055,1,False
VER,1,Red Bull Racing,23,INTERMEDIATE,23,True,0 days 00:01:24.267000,84.267,1,False
VER,1,Red Bull Racing,24,INTERMEDIATE,24,True,0 days 00:01:24.530000,84.53,1,False
VER,1,Red Bull Racing,25,INTERMEDIATE,25,True,0 days 00:01:24.156000,84.156,1,False
VER,1,Red Bull Racing,26,INTERMEDIATE,26,True,0 days 00:01:25.252000,85.252,1,False
VER,1,Red Bull Racing,27,INTERMEDIATE,27,True,0 days 00:01:28.393000,88.393,1,False
VER,1,Red Bull Racing,28,INTERMEDIATE,28,True,0 days 00:01:51.717000,111.717,1,False
VER,1,Red Bull Racing,29,INTERMEDIATE,29,True,0 days 00:01:45.014000,105.014,1,False
VER,1,Red Bull Racing,30,INTERMEDIATE,30,True,0 days 00:01:59.319000,119.319,1,False
VER,1,Red Bull Racing,31,INTERMEDIATE,31,True,0 days 00:02:04.967000,124.967,1,False
VER,1,Red Bull Racing,32,INTERMEDIATE,32,True,NaT,,1,False
VER,1,Red Bull Racing,33,INTERMEDIATE,1,True,NaT,,2,False
VER,1,Red Bull Racing,34,INTERMEDIATE,2,True,0 days 00:01:30.360000,90.36,2,False
VER,1,Red Bull Racing,35,INTERMEDIATE,3,True,0 days 00:01:28.006000,88.006,2,False
VER,1,Red Bull Racing,36,INTERMEDIATE,4,True,0 days 00:01:26.509000,86.509,2,False
VER,1,Red Bull Racing,37,INTERMEDIATE,5,True,0 days 00:01:25.286000,85.286,2,False
