Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
VER,1,Red Bull Racing,1,SOFT,1,True,NaT,,1,False
VER,1,Red Bull Racing,2,SOFT,2,True,0 days 00:01:44.239000,104.239,1,True
VER,1,Red Bull Racing,3,SOFT,3,True,0 days 00:02:04.284000,124.284,1,False
VER,1,Red Bull Racing,4,SOFT,4,True,0 days 00:01:41.666000,101.666,1,True
VER,1,Red Bull Racing,5,SOFT,5,True,0 days 00:02:12.948000,132.948,1,False
VER,1,Red Bull Racing,6,SOFT,6,True,0 days 00:01:39.507000,99.507,1,True
VER,1,Red Bull Racing,7,SOFT,7,True,0 days 00:02:08.053000,128.053,1,False
VER,1,Red Bull Racing,8,SOFT,8,True,0 days 00:01:56.245000,116.245,1,False
VER,1,Red Bull Racing,9,SOFT,9,True,0 days 00:01:50.996000,110.996,1,False
VER,1,Red Bull Racing,10,SOFT,10,True,0 days 00:02:19.091000,139.091,1,False
VER,1,Red Bull Racing,11,SOFT,11,True,0 days 00:01:38.401000,98.401,1,True
VER,1,Red Bull Racing,12,SOFT,12,True,0 days 00:02:01.845000,121.845,1,False
VER,1,Red Bull Racing,13,SOFT,13,True,0 days 00:01:38.356000,98.356,1,True
VER,1,Red Bull Racing,14,SOFT,14,True,0 days 00:01:50.116000,110.116,1,False
VER,1,Red Bull Racing,15,SOFT,1,True,NaT,,2,False
VER,1,Red Bull Racing,16,SOFT,2,True,0 days 00:02:07.032000,127.032,2,False
VER,1,Red Bull Racing,17,SOFT,3,True,0 days 00:01:36.761000,96.761,2,True
VER,1,Red Bull Racing,18,SOFT,4,True,0 days 00:02:15.046000,135.046,2,False
VER,1,Red Bull Racing,19,SOFT,5,True,0 days 00:01:36.537000,96.537,2,True
VER,1,Red Bull Racing,20,SOFT,6,True,NaT,,2,False
VER,1,Red Bull Racing,21,SOFT,7,True,0 days 00:02:25.916000,145.916,2,False
VER,1,Red Bull Racing,22,SOFT,8,True,0 days 00:01:36.038000,96.038,2,True
VER,1,Red Bull Racing,23,SOFT,9,True,0 days 00:02:16.235000,136.235,2,False
VER,1,Red Bull Racing,24,SOFT,10,True,0 days 00:02:09.589000,129.589,2,False
VER,1,Red Bull Racing,25,SOFT,11,True,0 days 00:02:17.858000,137.858,2,False
NOR,4,McLaren,1,MEDIUM,1,True,NaT,,1,False
