Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:07.510000,15.7,79.0,989.5,False,21.4,236,1.1
0 days 00:01:07.490000,15.7,78.0,989.6,False,21.4,229,1.1
0 days 00:02:07.522000,15.6,78.0,989.6,False,21.4,229,1.1
0 days 00:03:07.539000,15.6,79.0,989.6,False,21.3,224,1.6
0 days 00:04:07.531000,15.6,79.0,989.6,False,21.3,231,1.4
0 days 00:05:07.539000,15.6,79.0,989.6,False,21.2,230,1.4
0 days 00:06:07.530000,15.6,79.0,989.5,False,21.3,179,1.0
0 days 00:07:07.537000,15.6,79.0,989.6,False,21.4,202,0.8
0 days 00:08:07.563000,15.6,79.0,989.5,False,21.7,214,0.8
0 days 00:09:07.541000,15.6,79.0,989.4,False,21.9,148,0.6
0 days 00:10:07.556000,15.6,81.0,989.5,False,22.0,170,0.3
0 days 00:11:07.579000,15.6,79.0,989.5,False,22.0,353,0.5
0 days 00:12:07.561000,15.7,78.0,989.5,False,21.8,10,0.7
0 days 00:13:07.568000,15.6,78.0,989.5,False,21.9,146,0.4
0 days 00:14:07.577000,15.7,79.0,989.5,False,21.9,226,0.4
0 days 00:15:07.583000,15.7,79.0,989.5,False,22.1,193,0.6
0 days 00:16:07.581000,15.8,78.0,989.5,False,22.2,181,0.9
0 days 00:17:07.601000,15.8,79.0,989.5,False,22.3,219,1.1
0 days 00:18:07.617000,15.9,79.0,989.5,False,22.3,272,1.3
0 days 00:19:07.618000,15.9,77.0,989.5,False,22.2,168,0.9
0 days 00:20:07.622000,15.9,78.0,989.5,False,22.5,0,0.8
0 days 00:21:07.628000,16.0,78.0,989.5,False,22.6,210,0.7
0 days 00:22:07.633000,16.1,77.0,989.5,False,22.4,230,1.4
0 days 00:23:07.648000,16.0,77.0,989.5,False,22.3,199,1.4
0 days 00:24:07.669000,16.0,77.0,989.5,False,22.5,203,1.3
0 days 00:25:07.659000,16.0,77.0,989.4,False,22.6,219,1.5
0 days 00:26:07.685000,16.0,77.0,989.5,False,22.8,204,1.2
0 days 00:27:07.691000,16.1,77.0,989.4,False,22.9,202,1.9
0 days 00:28:07.704000,16.1,77.0,989.5,False,23.0,273,1.3
0 days 00:29:07.716000,16.1,77.0,989.4,False,23.1,327,0.9
0 days 00:30:07.697000,16.2,76.0,989.4,False,23.3,209,0.6
0 days 00:31:07.705000,16.2,76.0,989.4,False,23.6,199,1.2
0 days 00:32:07.699000,16.2,77.0,989.4,False,24.0,224,0.9
