Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:40.728000,12.4,83.0,986.6,False,19.4,216,1.2
0 days 00:01:40.760000,12.4,85.0,986.7,False,19.6,261,1.6
0 days 00:02:40.759000,12.4,84.0,986.7,False,20.5,246,1.7
0 days 00:03:40.760000,12.6,83.0,986.6,False,20.8,201,1.6
0 days 00:04:40.745000,12.6,83.0,986.7,False,21.3,86,1.5
0 days 00:05:40.766000,12.8,82.0,986.8,False,21.1,0,0.7
0 days 00:06:40.748000,12.9,81.0,986.8,False,21.4,75,0.9
0 days 00:07:40.748000,12.9,81.0,986.8,False,21.4,116,0.9
0 days 00:08:40.748000,12.9,79.0,986.8,False,21.2,222,1.7
0 days 00:09:40.764000,13.0,81.0,986.8,False,21.2,155,1.1
0 days 00:10:40.774000,13.1,81.0,986.8,False,21.9,264,1.2
0 days 00:11:40.768000,13.1,83.0,986.8,False,23.2,304,1.0
0 days 00:12:40.797000,13.3,83.0,986.8,False,23.7,251,1.3
0 days 00:13:40.798000,13.4,80.0,986.8,False,23.9,237,3.2
0 days 00:14:40.814000,13.4,78.0,986.9,False,23.6,204,3.1
0 days 00:15:40.800000,13.5,78.0,986.9,False,23.1,0,1.7
0 days 00:16:40.816000,13.5,78.0,987.0,False,23.0,54,1.7
0 days 00:17:40.832000,13.6,77.0,987.1,False,23.4,245,2.4
0 days 00:18:40.839000,13.7,75.0,987.0,False,23.4,199,3.1
0 days 00:19:40.837000,13.9,74.0,987.0,False,23.0,321,2.5
0 days 00:20:40.849000,13.8,76.0,987.1,False,22.9,218,1.8
0 days 00:21:40.851000,13.9,73.0,987.0,False,23.0,200,2.0
0 days 00:22:40.840000,13.9,73.0,987.0,False,23.5,152,1.3
0 days 00:23:40.854000,14.1,73.0,986.9,False,23.7,117,1.0
0 days 00:24:40.854000,14.2,74.0,987.0,False,23.9,246,1.3
0 days 00:25:40.871000,14.2,75.0,987.1,False,24.0,258,1.5
0 days 00:26:41.063000,14.3,71.0,987.1,False,24.0,244,1.6
0 days 00:27:41.074000,14.3,72.0,987.1,False,23.3,238,2.7
0 days 00:28:41.089000,14.3,72.0,987.0,False,22.5,276,3.3
0 days 00:29:41.091000,14.2,72.0,987.2,False,22.1,266,2.2
0 days 00:30:41.108000,14.3,72.0,987.2,False,21.8,217,2.2
0 days 00:31:41.109000,14.3,70.0,987.2,False,21.7,238,2.4
0 days 00:32:41.138000,14.1,72.0,987.2,False,21.2,237,1.2
0 days 00:33:41.160000,13.9,70.0,987.4,False,21.2,15,4.4
0 days 00:34:41.160000,13.8,72.0,987.3,False,20.5,234,1.4
0 days 00:35:41.155000,13.6,74.0,987.3,False,20.3,341,2.4
0 days 00:36:41.143000,13.7,71.0,987.3,False,20.1,342,1.2
0 days 00:37:41.158000,13.6,71.0,987.4,False,19.8,235,1.5
0 days 00:38:41.144000,13.6,71.0,987.3,False,19.2,186,1.6
0 days 00:39:41.174000,13.5,72.0,987.4,True,19.0,214,2.2
0 days 00:40:41.160000,13.4,72.0,987.4,False,18.9,266,1.9
0 days 00:41:41.182000,13.3,74.0,987.4,True,18.7,188,1.3
0 days 00:42:41.209000,13.2,73.0,987.4,True,18.6,254,1.5
0 days 00:43:41.195000,13.2,74.0,987.5,True,18.4,188,2.0
0 days 00:44:41.210000,13.1,74.0,987.5,True,18.3,280,1.6
0 days 00:45:41.194000,13.0,75.0,987.5,True,18.4,0,1.6
0 days 00:46:41.195000,13.0,75.0,987.4,False,18.4,240,0.5
0 days 00:47:41.197000,12.9,74.0,987.5,False,18.6,238,2.5
0 days 00:48:41.213000,13.0,75.0,987.5,False,18.7,202,2.5
0 days 00:49:41.231000,13.1,74.0,987.5,False,18.8,232,2.8
0 days 00:50:41.244000,13.1,75.0,987.6,False,19.1,249,2.1
0 days 00:51:41.233000,13.2,75.0,987.6,False,19.4,197,1.3
0 days 00:52:41.246000,13.4,75.0,987.6,False,19.4,209,1.8
0 days 00:53:41.234000,13.4,75.0,987.5,False,19.5,242,1.6
0 days 00:54:41.265000,13.4,76.0,987.6,False,20.1,298,2.4
0 days 00:55:41.264000,13.5,76.0,987.6,False,20.1,235,1.5
0 days 00:56:41.265000,13.6,74.0,987.7,False,20.0,297,1.6
0 days 00:57:41.280000,13.7,74.0,987.8,False,19.8,153,1.7
0 days 00:58:41.278000,13.8,74.0,987.7,False,19.8,235,1.1
0 days 00:59:41.298000,13.8,74.0,987.7,False,20.8,240,1.5
0 days 01:00:41.314000,13.8,74.0,987.6,False,21.2,233,2.0
0 days 01:01:41.320000,13.8,74.0,987.7,False,21.2,244,2.3
0 days 01:02:41.331000,13.9,73.0,987.7,False,21.5,100,1.7
0 days 01:03:41.366000,14.0,74.0,987.7,False,22.1,0,0.9
0 days 01:04:41.363000,14.1,72.0,987.9,False,22.1,199,1.1
0 days 01:05:41.378000,14.1,71.0,987.7,False,21.9,166,1.7
0 days 01:06:41.411000,14.2,72.0,987.7,False,21.7,244,2.7
0 days 01:07:41.427000,14.3,72.0,987.7,False,21.8,256,1.5
0 days 01:08:41.414000,14.4,70.0,987.7,False,21.7,232,1.6
0 days 01:09:41.430000,14.3,72.0,987.7,False,21.1,190,1.5
0 days 01:10:41.430000,14.3,71.0,987.7,False,21.7,338,1.3
0 days 01:11:41.431000,14.4,72.0,987.7,False,21.7,234,1.4
0 days 01:12:41.433000,14.3,70.0,987.8,False,21.3,250,1.0
0 days 01:13:41.435000,14.3,72.0,987.7,False,21.0,205,1.6
0 days 01:14:41.462000,14.4,72.0,987.7,False,21.1,257,1.7
0 days 01:15:41.480000,14.4,72.0,987.8,False,21.6,230,1.1
0 days 01:16:41.486000,14.4,72.0,987.8,False,21.6,245,1.6
0 days 01:17:41.511000,14.4,71.0,987.8,False,21.7,164,0.9
0 days 01:18:41.497000,14.4,71.0,987.8,False,21.8,200,1.3
0 days 01:19:41.496000,14.5,69.0,987.8,False,21.6,230,2.8
0 days 01:20:41.515000,14.5,69.0,987.7,False,20.6,0,2.1
0 days 01:21:41.547000,14.4,70.0,987.8,False,21.7,284,1.5
0 days 01:22:41.546000,14.4,71.0,987.8,False,22.5,206,1.2
0 days 01:23:41.564000,14.6,69.0,987.8,False,22.8,226,2.3
0 days 01:24:41.564000,14.6,65.0,988.0,False,22.7,228,3.5
